scalar,RGB_r,RGB_g,RGB_b
0.0,47,0,135
0.03225806451612903,59,0,144
0.06451612903225806,71,0,151
0.0967741935483871,82,0,157
0.12903225806451613,93,0,162
0.16129032258064516,104,0,166
0.1935483870967742,116,0,168
0.22580645161290322,126,0,169
0.25806451612903225,137,0,168
0.29032258064516125,147,0,165
0.3225806451612903,157,2,161
0.3548387096774194,166,19,155
0.3870967741935484,175,32,148
0.4193548387096774,183,43,140
0.45161290322580644,191,54,132
0.4838709677419355,198,64,125
0.5161290322580645,205,74,117
0.5483870967741935,212,84,110
0.5806451612903225,218,94,102
0.6129032258064516,224,104,95
0.6451612903225806,229,114,88
0.6774193548387096,234,124,81
0.7096774193548387,238,135,74
0.7419354838709677,241,146,66
0.7741935483870968,244,158,59
0.8064516129032258,245,170,51
0.8387096774193548,246,182,43
0.8709677419354839,245,195,37
0.9032258064516129,243,208,31
0.9354838709677419,239,222,29
0.967741935483871,234,236,30
1.0,228,250,21
