scalar,RGB_r,RGB_g,RGB_b
0.0,0,0,0
0.00787401574803,6,2,1
0.0157480314961,13,4,2
0.0236220472441,18,6,3
0.0314960629921,22,8,4
0.0393700787402,25,10,5
0.0472440944882,28,12,6
0.0551181102362,31,13,8
0.0629921259843,33,15,9
0.0708661417323,36,16,10
0.0787401574803,39,17,11
0.0866141732283,42,18,12
0.0944881889764,45,18,13
0.102362204724,48,19,14
0.110236220472,51,20,15
0.11811023622,54,21,15
0.125984251969,57,21,16
0.133858267717,61,22,17
0.141732283465,64,22,18
0.149606299213,67,23,18
0.157480314961,70,24,19
0.165354330709,73,24,20
0.173228346457,77,25,20
0.181102362205,80,25,21
0.188976377953,83,26,21
0.196850393701,87,26,22
0.204724409449,90,27,22
0.212598425197,93,27,23
0.220472440945,97,28,23
0.228346456693,100,28,24
0.236220472441,104,29,24
0.244094488189,107,29,25
0.251968503937,111,29,25
0.259842519685,114,30,26
0.267716535433,118,30,27
0.275590551181,121,31,27
0.283464566929,125,31,28
0.291338582677,128,31,28
0.299212598425,132,31,29
0.307086614173,136,32,29
0.314960629921,139,32,30
0.322834645669,143,32,30
0.330708661417,146,32,31
0.338582677165,150,33,31
0.346456692913,154,33,32
0.354330708661,157,33,32
0.362204724409,161,33,33
0.370078740157,165,33,34
0.377952755906,169,33,34
0.385826771654,172,33,35
0.393700787402,176,34,35
0.40157480315,177,38,34
0.409448818898,179,42,34
0.417322834646,181,45,33
0.425196850394,183,49,33
0.433070866142,185,52,32
0.44094488189,187,55,32
0.448818897638,189,58,31
0.456692913386,191,61,30
0.464566929134,193,64,30
0.472440944882,195,67,29
0.48031496063,197,70,28
0.488188976378,198,73,27
0.496062992126,200,76,26
0.503937007874,202,78,25
0.511811023622,204,81,24
0.51968503937,206,84,23
0.527559055118,208,86,21
0.535433070866,210,89,20
0.543307086614,212,92,18
0.551181102362,214,94,16
0.55905511811,216,97,14
0.566929133858,218,100,12
0.574803149606,219,102,9
0.582677165354,221,105,6
0.590551181102,222,108,5
0.59842519685,223,112,5
0.606299212598,223,115,5
0.614173228346,224,119,4
0.622047244094,224,122,4
0.629921259843,224,126,4
0.637795275591,225,129,4
0.645669291339,225,133,4
0.653543307087,226,136,4
0.661417322835,226,139,4
0.669291338583,226,143,4
0.677165354331,227,146,3
0.685039370079,227,149,3
0.692913385827,227,152,3
0.700787401575,228,156,3
0.708661417323,228,159,3
0.716535433071,228,162,3
0.724409448819,228,165,3
0.732283464567,228,168,3
0.740157480315,229,171,3
0.748031496063,229,175,4
0.755905511811,229,178,4
0.763779527559,229,181,4
0.771653543307,229,184,4
0.779527559055,229,187,4
0.787401574803,229,190,4
0.795275590551,229,193,4
0.803149606299,229,196,5
0.811023622047,229,200,5
0.818897637795,229,203,5
0.826771653543,229,206,5
0.834645669291,229,209,6
0.842519685039,229,212,14
0.850393700787,231,214,42
0.858267716535,233,216,59
0.866141732283,235,218,73
0.874015748031,237,220,86
0.88188976378,239,222,98
0.889763779528,241,224,110
0.897637795276,243,226,121
0.905511811024,244,229,131
0.913385826772,246,231,142
0.92125984252,247,233,153
0.929133858268,248,235,163
0.937007874016,250,237,173
0.944881889764,251,239,183
0.952755905512,252,242,194
0.96062992126,253,244,204
0.968503937008,253,246,214
0.976377952756,254,248,224
0.984251968504,254,250,235
0.992125984252,255,253,245
1.0,255,255,255
