scalar,RGB_r,RGB_g,RGB_b
0.0,0,0,0
0.0322580645161,22,8,4
0.0645161290323,34,15,9
0.0967741935484,46,19,13
0.129032258065,59,21,17
0.161290322581,72,24,19
0.193548387097,85,26,21
0.225806451613,99,28,24
0.258064516129,113,30,26
0.290322580645,128,31,28
0.322580645161,143,32,30
0.354838709677,158,33,33
0.387096774194,173,33,35
0.41935483871,182,46,33
0.451612903226,190,59,31
0.483870967742,197,71,28
0.516129032258,205,83,23
0.548387096774,213,93,17
0.58064516129,221,104,7
0.612903225806,224,118,4
0.645161290323,225,132,4
0.677419354839,227,146,3
0.709677419355,228,159,3
0.741935483871,229,172,3
0.774193548387,229,185,4
0.806451612903,229,198,5
0.838709677419,229,210,6
0.870967741935,237,219,81
0.903225806452,244,228,128
0.935483870968,249,237,171
0.967741935484,253,246,213
1.0,255,255,255
