scalar,RGB_r,RGB_g,RGB_b
0.0,1,0,4
0.03225806451612903,6,3,19
0.06451612903225806,16,7,37
0.0967741935483871,28,9,57
0.12903225806451613,42,8,77
0.16129032258064516,56,4,93
0.1935483870967742,70,2,103
0.22580645161290322,83,4,108
0.25806451612903225,95,10,110
0.29032258064516125,107,16,111
0.3225806451612903,119,22,110
0.3548387096774194,131,28,108
0.3870967741935484,143,33,105
0.4193548387096774,155,38,101
0.45161290322580644,167,44,96
0.4838709677419355,179,50,89
0.5161290322580645,190,57,81
0.5483870967741935,201,65,73
0.5806451612903225,211,74,64
0.6129032258064516,220,85,54
0.6451612903225806,228,97,44
0.6774193548387096,234,110,34
0.7096774193548387,239,123,22
0.7419354838709677,242,138,10
0.7741935483870968,244,153,1
0.8064516129032258,245,169,6
0.8387096774193548,243,185,23
0.8709677419354839,241,201,44
0.9032258064516129,237,217,68
0.9354838709677419,233,233,97
0.967741935483871,234,246,131
1.0,245,255,163
