scalar,RGB_r,RGB_g,RGB_b
0.0,1,0,4
0.007874015748031496,1,0,6
0.015748031496062992,2,1,10
0.023622047244094488,4,2,14
0.031496062992125984,5,3,18
0.03937007874015748,7,3,23
0.047244094488188976,10,4,27
0.05511811023622047,12,5,32
0.06299212598425197,15,6,36
0.07086614173228346,18,7,41
0.07874015748031496,21,8,46
0.08661417322834646,24,9,50
0.09448818897637795,27,9,55
0.10236220472440945,30,9,60
0.11023622047244094,34,9,65
0.11811023622047244,37,9,70
0.12598425196850394,40,8,75
0.13385826771653542,44,8,79
0.14173228346456693,48,7,84
0.14960629921259844,51,6,88
0.15748031496062992,55,5,91
0.1653543307086614,58,4,94
0.1732283464566929,62,3,97
0.18110236220472442,65,2,100
0.1889763779527559,68,2,102
0.19685039370078738,71,2,103
0.2047244094488189,75,2,105
0.2125984251968504,78,3,106
0.2204724409448819,81,4,107
0.22834645669291337,84,5,108
0.23622047244094488,87,6,109
0.2440944881889764,90,7,110
0.25196850393700787,93,8,110
0.25984251968503935,95,10,110
0.26771653543307083,98,12,111
0.2755905511811024,101,13,111
0.28346456692913385,104,15,111
0.29133858267716534,107,16,111
0.2992125984251969,110,18,111
0.30708661417322836,113,19,111
0.31496062992125984,116,21,111
0.3228346456692913,119,22,110
0.3307086614173228,122,23,110
0.33858267716535434,125,25,109
0.3464566929133858,128,26,109
0.3543307086614173,131,27,108
0.36220472440944884,133,29,108
0.3700787401574803,136,30,107
0.3779527559055118,139,31,106
0.3858267716535433,142,33,105
0.39370078740157477,145,34,104
0.4015748031496063,148,35,103
0.4094488188976378,151,37,102
0.41732283464566927,154,38,101
0.4251968503937008,157,39,100
0.4330708661417323,160,41,99
0.4409448818897638,163,42,97
0.44881889763779526,166,43,96
0.45669291338582674,169,45,95
0.4645669291338583,172,46,93
0.47244094488188976,175,48,91
0.48031496062992124,178,49,90
0.4881889763779528,180,51,88
0.49606299212598426,183,53,86
0.5039370078740157,186,54,84
0.5118110236220472,189,56,82
0.5196850393700787,192,58,81
0.5275590551181102,194,60,79
0.5354330708661417,197,62,76
0.5433070866141733,199,64,74
0.5511811023622047,202,66,72
0.5590551181102362,205,68,70
0.5669291338582677,207,70,68
0.5748031496062992,209,73,66
0.5826771653543307,212,75,63
0.5905511811023622,214,78,61
0.5984251968503937,216,80,59
0.6062992125984252,218,83,56
0.6141732283464567,220,85,54
0.6220472440944882,222,88,52
0.6299212598425197,224,91,49
0.6377952755905512,226,94,47
0.6456692913385826,228,97,44
0.6535433070866141,229,100,42
0.6614173228346456,231,103,39
0.6692913385826772,232,106,37
0.6771653543307087,234,110,34
0.6850393700787402,235,113,31
0.6929133858267716,236,116,29
0.7007874015748031,238,120,26
0.7086614173228346,239,123,23
0.7165354330708661,240,126,20
0.7244094488188977,241,130,17
0.7322834645669292,241,134,14
0.7401574803149606,242,137,10
0.7480314960629921,243,141,7
0.7559055118110236,243,144,5
0.7637795275590551,244,148,3
0.7716535433070866,244,152,2
0.7795275590551181,244,156,1
0.7874015748031495,245,159,1
0.7952755905511811,245,163,2
0.8031496062992126,245,167,4
0.8110236220472441,245,171,8
0.8188976377952756,244,175,12
0.8267716535433071,244,179,16
0.8346456692913385,244,183,21
0.84251968503937,243,187,26
0.8503937007874016,243,191,31
0.8582677165354331,242,195,36
0.8661417322834646,241,199,41
0.8740157480314961,240,203,46
0.8818897637795275,240,207,52
0.889763779527559,239,210,57
0.8976377952755905,238,214,63
0.905511811023622,237,218,70
0.9133858267716535,236,222,76
0.9212598425196851,235,226,83
0.9291338582677166,234,230,91
0.937007874015748,233,233,98
0.9448818897637795,232,237,107
0.952755905511811,232,240,115
0.9606299212598425,233,243,123
0.968503937007874,234,246,132
0.9763779527559056,236,249,140
0.984251968503937,238,251,148
0.9921259842519685,241,254,156
1.0,245,256,163
