scalar,RGB_r,RGB_g,RGB_b
0.0,1,0,4
0.015873015873015872,2,1,10
0.031746031746031744,5,3,19
0.047619047619047616,10,4,27
0.06349206349206349,15,6,37
0.07936507936507936,21,8,46
0.09523809523809523,27,9,56
0.1111111111111111,34,9,66
0.12698412698412698,41,8,75
0.14285714285714285,48,7,84
0.15873015873015872,55,4,92
0.1746031746031746,62,3,98
0.19047619047619047,69,2,102
0.20634920634920634,75,2,105
0.2222222222222222,81,4,108
0.23809523809523808,87,6,109
0.25396825396825395,93,9,110
0.2698412698412698,99,12,111
0.2857142857142857,105,15,111
0.30158730158730157,111,18,111
0.31746031746031744,117,21,110
0.3333333333333333,123,24,110
0.3492063492063492,129,27,109
0.36507936507936506,135,29,107
0.38095238095238093,141,32,106
0.3968253968253968,147,34,104
0.4126984126984127,153,37,102
0.42857142857142855,158,40,100
0.4444444444444444,164,43,97
0.4603174603174603,170,45,94
0.47619047619047616,176,48,91
0.49206349206349204,182,52,87
0.5079365079365079,187,55,83
0.5238095238095237,193,59,79
0.5396825396825397,198,63,75
0.5555555555555556,203,67,71
0.5714285714285714,208,72,67
0.5873015873015872,213,77,62
0.6031746031746031,217,82,57
0.6190476190476191,221,87,53
0.6349206349206349,225,93,48
0.6507936507936507,229,99,43
0.6666666666666666,232,105,37
0.6825396825396826,235,112,32
0.6984126984126984,237,119,27
0.7142857142857142,239,125,21
0.7301587301587301,241,133,15
0.746031746031746,243,140,8
0.7619047619047619,244,147,3
0.7777777777777777,244,155,1
0.7936507936507936,245,163,2
0.8095238095238095,245,170,7
0.8253968253968254,244,178,15
0.8412698412698412,243,186,25
0.8571428571428571,242,194,35
0.873015873015873,241,202,45
0.8888888888888888,239,210,57
0.9047619047619047,237,218,69
0.9206349206349206,235,226,83
0.9365079365079365,233,233,98
0.9523809523809523,232,240,114
0.9682539682539681,234,246,132
0.9841269841269841,238,251,148
1.0,245,256,163
