scalar,RGB_r,RGB_g,RGB_b
0.0,1,0,4
0.015873015873015872,2,1,10
0.031746031746031744,5,3,18
0.047619047619047616,9,5,26
0.06349206349206349,14,7,35
0.07936507936507936,20,10,43
0.09523809523809523,25,12,53
0.1111111111111111,31,14,62
0.12698412698412698,37,14,72
0.14285714285714285,43,14,82
0.15873015873015872,50,13,91
0.1746031746031746,57,11,100
0.19047619047619047,64,9,108
0.20634920634920634,71,7,114
0.2222222222222222,78,6,119
0.23809523809523808,84,7,122
0.25396825396825395,90,10,125
0.2698412698412698,95,13,126
0.2857142857142857,101,16,128
0.30158730158730157,107,20,129
0.31746031746031744,113,23,129
0.3333333333333333,118,26,130
0.3492063492063492,124,29,130
0.36507936507936506,130,31,130
0.38095238095238093,136,34,130
0.3968253968253968,142,37,130
0.4126984126984127,148,39,129
0.42857142857142855,154,41,128
0.4444444444444444,160,44,127
0.4603174603174603,166,46,126
0.47619047619047616,172,48,125
0.49206349206349204,179,51,123
0.5079365079365079,185,53,121
0.5238095238095237,191,56,119
0.5396825396825397,197,59,116
0.5555555555555556,203,62,114
0.5714285714285714,209,65,111
0.5873015873015872,215,69,108
0.6031746031746031,220,73,104
0.6190476190476191,225,78,101
0.6349206349206349,230,83,98
0.6507936507936507,234,89,96
0.6666666666666666,237,96,94
0.6825396825396826,240,103,92
0.6984126984126984,242,110,92
0.7142857142857142,244,118,93
0.7301587301587301,245,126,94
0.746031746031746,246,133,96
0.7619047619047619,247,141,99
0.7777777777777777,248,149,103
0.7936507936507936,248,157,107
0.8095238095238095,249,164,112
0.8253968253968254,249,172,117
0.8412698412698412,249,179,122
0.8571428571428571,249,187,128
0.873015873015873,249,194,134
0.8888888888888888,248,202,140
0.9047619047619047,248,209,147
0.9206349206349206,248,217,153
0.9365079365079365,248,224,161
0.9523809523809523,247,232,168
0.9682539682539681,247,239,175
0.9841269841269841,247,246,183
1.0,246,254,190
