scalar,RGB_r,RGB_g,RGB_b
0.0,1,0,4
0.03225806451612903,5,3,18
0.06451612903225806,15,7,35
0.0967741935483871,26,12,53
0.12903225806451613,38,14,73
0.16129032258064516,51,13,93
0.1935483870967742,66,8,110
0.22580645161290322,79,6,120
0.25806451612903225,91,11,125
0.29032258064516125,103,17,128
0.3225806451612903,114,24,130
0.3548387096774194,126,30,130
0.3870967741935484,138,35,130
0.4193548387096774,150,40,129
0.45161290322580644,163,45,127
0.4838709677419355,175,50,124
0.5161290322580645,188,55,120
0.5483870967741935,200,60,115
0.5806451612903225,212,67,109
0.6129032258064516,223,76,102
0.6451612903225806,232,87,97
0.6774193548387096,239,101,93
0.7096774193548387,243,116,92
0.7419354838709677,246,131,96
0.7741935483870968,248,147,102
0.8064516129032258,249,163,111
0.8387096774193548,249,178,121
0.8709677419354839,249,193,133
0.9032258064516129,248,209,146
0.9354838709677419,248,224,160
0.967741935483871,247,239,175
1.0,246,254,190
