scalar,RGB_r,RGB_g,RGB_b
0.0,1,0,4
0.007874015748031496,1,0,6
0.015748031496062992,2,1,10
0.023622047244094488,4,2,14
0.031496062992125984,5,3,18
0.03937007874015748,7,4,22
0.047244094488188976,9,5,26
0.05511811023622047,12,6,30
0.06299212598425197,14,7,34
0.07086614173228346,17,8,39
0.07874015748031496,19,10,43
0.08661417322834646,22,11,48
0.09448818897637795,25,12,52
0.10236220472440945,27,13,57
0.11023622047244094,30,13,61
0.11811023622047244,33,14,66
0.12598425196850394,36,14,71
0.13385826771653542,40,14,76
0.14173228346456693,43,14,81
0.14960629921259844,46,14,86
0.15748031496062992,50,13,91
0.1653543307086614,53,12,95
0.1732283464566929,57,11,100
0.18110236220472442,60,10,104
0.1889763779527559,64,9,108
0.19685039370078738,67,8,111
0.2047244094488189,70,7,114
0.2125984251968504,74,6,116
0.2204724409448819,77,6,118
0.22834645669291337,80,7,120
0.23622047244094488,83,7,122
0.2440944881889764,86,8,123
0.25196850393700787,89,9,124
0.25984251968503935,92,11,125
0.26771653543307083,95,13,126
0.2755905511811024,98,14,127
0.28346456692913385,100,16,128
0.29133858267716534,103,17,128
0.2992125984251969,106,19,129
0.30708661417322836,109,21,129
0.31496062992125984,112,22,129
0.3228346456692913,114,24,130
0.3307086614173228,117,25,130
0.33858267716535434,120,27,130
0.3464566929133858,123,28,130
0.3543307086614173,126,30,130
0.36220472440944884,129,31,130
0.3700787401574803,132,32,130
0.3779527559055118,135,34,130
0.3858267716535433,138,35,130
0.39370078740157477,141,36,130
0.4015748031496063,144,37,130
0.4094488188976378,147,39,129
0.41732283464566927,150,40,129
0.4251968503937008,153,41,129
0.4330708661417323,156,42,128
0.4409448818897638,159,43,128
0.44881889763779526,162,44,127
0.45669291338582674,165,46,126
0.4645669291338583,168,47,126
0.47244094488188976,171,48,125
0.48031496062992124,174,49,124
0.4881889763779528,177,50,123
0.49606299212598426,180,51,123
0.5039370078740157,183,53,122
0.5118110236220472,186,54,121
0.5196850393700787,189,55,119
0.5275590551181102,192,56,118
0.5354330708661417,195,58,117
0.5433070866141733,198,59,116
0.5511811023622047,201,61,114
0.5590551181102362,204,62,113
0.5669291338582677,207,64,112
0.5748031496062992,210,66,110
0.5826771653543307,213,68,109
0.5905511811023622,216,70,107
0.5984251968503937,218,72,105
0.6062992125984252,221,74,104
0.6141732283464567,224,76,102
0.6220472440944882,226,79,101
0.6299212598425197,228,81,99
0.6377952755905512,230,84,98
0.6456692913385826,232,87,96
0.6535433070866141,234,90,95
0.6614173228346456,236,94,94
0.6692913385826772,237,97,93
0.6771653543307087,239,101,93
0.6850393700787402,240,104,92
0.6929133858267716,241,108,92
0.7007874015748031,242,111,92
0.7086614173228346,243,115,92
0.7165354330708661,244,119,93
0.7244094488188977,245,123,94
0.7322834645669292,245,127,94
0.7401574803149606,246,131,95
0.7480314960629921,246,134,97
0.7559055118110236,247,138,98
0.7637795275590551,247,142,100
0.7716535433070866,248,146,101
0.7795275590551181,248,150,103
0.7874015748031495,248,154,105
0.7952755905511811,248,157,108
0.8031496062992126,248,161,110
0.8110236220472441,249,165,112
0.8188976377952756,249,169,115
0.8267716535433071,249,173,117
0.8346456692913385,249,176,120
0.84251968503937,249,180,123
0.8503937007874016,249,184,125
0.8582677165354331,249,187,128
0.8661417322834646,249,191,131
0.8740157480314961,249,195,134
0.8818897637795275,249,199,137
0.889763779527559,248,202,140
0.8976377952755905,248,206,144
0.905511811023622,248,210,147
0.9133858267716535,248,213,150
0.9212598425196851,248,217,154
0.9291338582677166,248,221,157
0.937007874015748,248,224,161
0.9448818897637795,247,228,164
0.952755905511811,247,232,168
0.9606299212598425,247,235,172
0.968503937007874,247,239,175
0.9763779527559056,247,243,179
0.984251968503937,246,246,183
0.9921259842519685,246,250,187
1.0,246,254,190
