scalar,RGB_r,RGB_g,RGB_b
0.0,72,0,84
0.015873015873015872,74,1,91
0.031746031746031744,76,7,96
0.047619047619047616,77,14,102
0.06349206349206349,78,20,107
0.07936507936507936,79,26,112
0.09523809523809523,80,32,116
0.1111111111111111,80,37,120
0.12698412698412698,80,42,124
0.14285714285714285,79,48,127
0.15873015873015872,79,53,130
0.1746031746031746,78,58,132
0.19047619047619047,77,63,134
0.20634920634920634,75,68,136
0.2222222222222222,74,72,138
0.23809523809523808,72,77,139
0.25396825396825395,71,82,140
0.2698412698412698,69,86,140
0.2857142857142857,67,91,141
0.30158730158730157,65,95,141
0.31746031746031744,64,99,142
0.3333333333333333,62,103,142
0.3492063492063492,60,107,142
0.36507936507936506,59,111,142
0.38095238095238093,57,115,142
0.3968253968253968,55,119,142
0.4126984126984127,54,123,142
0.42857142857142855,52,127,142
0.4444444444444444,50,131,142
0.4603174603174603,48,135,142
0.47619047619047616,46,138,141
0.49206349206349204,44,142,141
0.5079365079365079,42,146,140
0.5238095238095237,39,150,139
0.5396825396825397,37,154,138
0.5555555555555556,35,158,137
0.5714285714285714,34,162,135
0.5873015873015872,32,166,133
0.6031746031746031,32,169,131
0.6190476190476191,33,173,129
0.6349206349206349,35,177,126
0.6507936507936507,38,181,123
0.6666666666666666,42,184,120
0.6825396825396826,48,188,116
0.6984126984126984,54,191,112
0.7142857142857142,61,195,108
0.7301587301587301,69,198,103
0.746031746031746,78,201,98
0.7619047619047619,86,204,93
0.7777777777777777,96,207,87
0.7936507936507936,105,210,81
0.8095238095238095,115,212,74
0.8253968253968254,126,215,68
0.8412698412698412,136,217,60
0.8571428571428571,147,219,53
0.873015873015873,158,221,45
0.8888888888888888,169,223,37
0.9047619047619047,180,225,28
0.9206349206349206,191,226,20
0.9365079365079365,202,228,12
0.9523809523809523,212,229,9
0.9682539682539681,223,230,11
0.9841269841269841,233,231,19
1.0,243,233,28
